sciname,FE
Tympanotonos fuscatus,12.6
Tympanotonos fuscatus,10.45
Tympanotonos fuscatus,15.2
Tympanotonos fuscatus,15.05
Tympanotonos fuscatus,0.198
Ucides cordatus,10.26
Ucides cordatus,10.3
Ucides cordatus,6.9
Ucides cordatus,15.75
Ucides cordatus,11.48
Ucides cordatus,22.34
Umbonium costatum,25.4
Uroteuthis chinensis,0.4
Uroteuthis duvauceli,0.39
Uroteuthis duvaucelii,0.042
"Veneroida, myoida,, ostreoida",6.12
"Veneroida, myoida,, ostreoida",6.9
"Veneroida, myoida,, ostreoida",2.5
"Veneroida, myoida,, ostreoida",7.7
"Veneroida, myoida,, ostreoida",3.4
"Veneroida, myoida,, ostreoida",14
"Veneroida, myoida,, ostreoida",28
Volutharpa ampullacea perryi,2.1
Watasenia scintillans,10
Watasenia scintillans,0.8
Watasenia scintillans,2.7
Watasenia scintillans,1.1
