species,english_name,order,family,genus,mean_dry_mass,mean_intertegular_distance
Osmia leaiana,Orange-vented Mason Bee,Hymenoptera,Megachilidae,Osmia,10.996,2.0440932
Lasioglossum minutissimum,Least Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,1,0.91065719999999994
Chrysotoxum bicinctum,NA,Diptera,Syrphidae,Chrysotoxum,18.0438335,2.808
Andrena semilaevis,Shiny-margined Mini-miner,Hymenoptera,Andrenidae,Andrena,NA,NA
Tropidia scita,NA,Diptera,Syrphidae,Tropidia,NA,NA
Helophilus trivittatus,NA,Diptera,Syrphidae,Helophilus,36.87605263157894,3.7794736842105263
Lasioglossum cupromicans,Turquoise Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,2.15,1.2000000000000002
Bombus monticola,Bilberry Bumblebee,Hymenoptera,Apidae,Bombus,NA,NA
Lasioglossum lativentre,Furry-claspered Furrow Bee,Hymenoptera,Halictidae,Lasioglossum,5.240666666666667,1.5376666666666665
Andrena fucata,Painted Mining Bee,Hymenoptera,Andrenidae,Andrena,NA,NA
Cheilosia vernalis,NA,Diptera,Syrphidae,Cheilosia,NA,NA
Lejogaster metallina,NA,Diptera,Syrphidae,Lejogaster,0.994,1.371
